x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,255-228-181,255-228-181,255-228-181,255-228-181,255-228-181,255-228-181,x,x,x,x,x
x,x,x,x,x,255-228-181,255-228-181,x,x,255-228-181,255-228-181,x,x,x,x,x
x,x,x,x,x,255-228-181,255-228-181,255-228-181,255-228-181,255-228-181,255-228-181,x,x,x,x,x
x,x,x,x,x,x,255-228-181,255-228-181,255-228-181,255-228-181,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
